RCDTS,Level,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title I Status,State Senate District,State House District,# Student Enrollment,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - Never EL,% Student Enrollment - Low Income,Latitude,Longitude
05-016-0250-02-1014,School,South Middle School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,27.0,53.0,803.0,48.1,51.9,83.6,,9.0,,25.3,12.8,83.1,15.7,42.0766,-87.9862
05-016-0250-02-1015,School,Thomas Middle School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Eligible but Not Served,27.0,54.0,1014.0,51.8,48.2,70.6,1.5,9.1,,21.8,11.1,79.4,16.1,42.1024279,-87.9789251
05-016-0250-02-2016,School,Westgate Elem School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Eligible but Not Served,27.0,53.0,622.0,53.9,46.1,81.0,,10.6,,20.1,14.5,88.9,14.3,42.0749901,-87.9983849
05-016-0250-02-2018,School,Windsor Elementary School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Eligible but Not Served,27.0,54.0,498.0,54.8,45.2,74.9,,13.1,,24.1,18.1,83.1,17.1,42.0836785,-87.966318
54-092-2250-17-0000,District,,Armstrong Twp HSD 225,Armstrong,Vermilion,High School District,,,,,,,,113.0,50.4,49.6,91.2,,,,11.5,11.5,100.0,37.2,21.091459,-101.681021
54-092-2250-17-0001,School,Armstrong High School,Armstrong Twp HSD 225,Armstrong,Vermilion,High School District,High School,9 - 12,Commendable,All Students,Title 1 Targeted,51.0,101.0,113.0,50.4,49.6,91.2,,,,11.5,11.5,100.0,37.2,40.3055,-87.8801
54-092-0610-03-0000,District,,Armstrong-Ellis Cons SD 61,Armstrong,Vermilion,Elementary District,,,,,,,,80.0,55.0,45.0,88.8,,,,12.5,12.5,100.0,40.0,21.091459,-101.681021
54-092-0610-03-2001,School,Armstrong-Ellis Elem School,Armstrong-Ellis Cons SD 61,Armstrong,Vermilion,Elementary District,Elementary School,K - 8,Commendable,All Students,Title 1 Targeted,51.0,101.0,80.0,55.0,45.0,88.8,,,,12.5,12.5,100.0,40.0,40.30698,-87.87531
11-021-3050-26-0000,District,,Arthur CUSD 305,Arthur,Douglas,Unit District,,,,,,,,900.0,52.6,47.4,86.7,,9.2,3.0,21.7,18.6,93.3,56.0,30.97072,-116.15656
11-021-3050-26-2003,School,Arthur Grade School,Arthur CUSD 305,Arthur,Douglas,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,51.0,101.0,256.0,57.4,42.6,76.6,,18.0,3.9,17.2,17.2,83.2,55.9,38.34061,-87.24584
11-021-3050-26-0001,School,Arthur-Lovington-Atwood-Hammond High School,Arthur CUSD 305,Arthur,Douglas,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,51.0,101.0,294.0,48.0,52.0,87.8,,9.5,,19.4,13.9,95.9,45.9,39.80725,-88.4645
11-021-3050-26-2005,School,Atwood-Hammond Grade School,Arthur CUSD 305,Atwood,Douglas,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,44.0,88.0,205.0,51.2,48.8,92.7,,,,25.9,22.0,,59.0,39.803534,-88.464902
11-021-3050-26-2004,School,Lovington Grade School,Arthur CUSD 305,Lovington,Douglas,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Eligible but Not Served,54.0,107.0,145.0,55.2,44.8,93.8,,,,28.3,25.5,,72.4,39.71376,-88.62789
13-095-0150-04-0000,District,,Ashley CCSD 15,Ashley,Washington,Elementary District,,,,,,,,127.0,52.8,47.2,95.3,,,,29.1,28.3,100.0,50.4,28.7045271,-106.0948586
13-095-0150-04-2001,School,Ashley Com Consolidated School,Ashley CCSD 15,Ashley,Washington,Elementary District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,55.0,109.0,127.0,52.8,47.2,95.3,,,,29.1,28.3,100.0,50.4,38.33199,-89.18619
47-052-2750-26-0000,District,,Ashton-Franklin Center CUSD 275,Ashton,Lee,Unit District,,,,,,,,430.0,50.9,49.1,88.6,,9.1,,15.3,12.8,96.3,51.2,41.8670192,-89.2223086
47-052-2750-26-2003,School,Ashton-Franklin Center Elem Sch,Ashton-Franklin Center CUSD 275,Franklin Grove,Lee,Unit District,Elementary School,PK - 6,Commendable,All Students,Title 1 Schoolwide,37.0,74.0,219.0,50.7,49.3,89.0,,7.8,,16.4,16.0,,51.6,41.838057,-89.30009
47-052-2750-26-0001,School,Ashton-Franklin Center HS,Ashton-Franklin Center CUSD 275,Ashton,Lee,Unit District,High School,7 - 12,Commendable,All Students,Title 1 Eligible but Not Served,37.0,74.0,211.0,51.2,48.8,88.2,,,,14.2,9.5,94.8,50.7,41.865861,-89.22969
26-029-0010-26-0000,District,,Astoria CUSD 1,Astoria,Fulton,Unit District,,,,,,,,273.0,53.1,46.9,95.6,,,,34.1,29.7,,53.5,40.226964,-90.359739
26-029-0010-26-2001,School,Astoria Elem School,Astoria CUSD 1,Astoria,Fulton,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Targeted,47.0,94.0,143.0,51.0,49.0,95.8,,,,30.1,27.3,100.0,60.8,40.229746,-90.3522
26-029-0010-26-0001,School,Astoria High School,Astoria CUSD 1,Astoria,Fulton,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,47.0,94.0,84.0,56.0,44.0,95.2,,,,38.1,32.1,100.0,42.9,40.2341775,-90.3367466
26-029-0010-26-1001,School,Astoria Junior High School,Astoria CUSD 1,Astoria,Fulton,Unit District,Middle/Junior High School,6 - 8,Targeted,Low Income,Title 1 Eligible but Not Served,47.0,94.0,46.0,54.3,45.7,95.7,,,,39.1,32.6,,50.0,40.226964,-90.359739
51-065-2130-26-0000,District,,Athens CUSD 213,Athens,Menard,Unit District,,,,,,,,947.0,49.7,50.3,90.3,,2.5,5.7,16.6,16.4,,34.1,39.963865,-89.724046
51-065-2130-26-1001,School,Athens Junior High School,Athens CUSD 213,Athens,Menard,Unit District,Middle/Junior High School,7 - 8,Commendable,All Students,Title 1 Eligible but Not Served,54.0,108.0,143.0,58.0,42.0,86.7,,,,21.0,19.6,100.0,39.9,34.79564,-86.96806
51-065-2130-26-0001,School,Athens Sr High School,Athens CUSD 213,Athens,Menard,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,54.0,108.0,289.0,44.6,55.4,92.0,,,,13.5,13.5,,30.1,39.961667,-89.717511
51-065-2130-26-2003,School,Cantrall Elem School,Athens CUSD 213,Cantrall,Menard,Unit District,Elementary School,PK - 3,Commendable,All Students,Title 1 Targeted,54.0,108.0,332.0,51.5,48.5,89.8,,,8.1,14.5,14.5,,34.9,39.939725,-89.674969
51-065-2130-26-2001,School,Cantrall Intermediate School,Athens CUSD 213,Cantrall,Menard,Unit District,Elementary School,4 - 6,Commendable,All Students,Title 1 Eligible but Not Served,54.0,108.0,183.0,48.1,51.9,91.3,,,5.5,21.9,21.9,100.0,34.4,39.9396,-89.675
07-016-1250-02-0000,District,,Atwood Heights SD 125,Alsip,Cook,Elementary District,,,,,,,,573.0,49.9,50.1,26.4,17.5,52.7,,17.6,14.5,81.3,59.3,41.669173,-87.73154
07-016-1250-02-1001,School,Hamlin Upper Grade Center,Atwood Heights SD 125,Alsip,Cook,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,18.0,35.0,178.0,46.6,53.4,28.1,,55.1,,20.2,16.3,72.5,55.6,41.6716907,-87.7156478
07-016-1250-02-2003,School,Lawn Manor School,Atwood Heights SD 125,Oak Lawn,Cook,Elementary District,Elementary School,PK - 2,Commendable,All Students,Title 1 Schoolwide,18.0,36.0,203.0,53.7,46.3,22.2,,55.2,,16.7,16.7,85.7,61.1,41.6962,-87.7282
07-016-1250-02-2004,School,Meadow Lane School,Atwood Heights SD 125,Merrionette Park,Cook,Elementary District,Elementary School,3 - 5,Commendable,All Students,Title 1 Schoolwide,18.0,35.0,192.0,49.0,51.0,29.2,19.3,47.9,,16.1,10.4,84.9,60.9,41.6785307,-87.6975026
51-084-0100-26-0000,District,,Auburn CUSD 10,Auburn,Sangamon,Unit District,,,,,,,,1040.0,54.4,45.6,91.4,,2.7,4.4,21.7,17.1,100.0,41.6,39.589281,-89.747689
51-084-0100-26-2003,School,Auburn Elem School,Auburn CUSD 10,Auburn,Sangamon,Unit District,Elementary School,PK - 2,Commendable,All Students,Title 1 Schoolwide,54.0,108.0,291.0,51.5,48.5,95.9,,,,17.9,16.5,100.0,42.3,39.5946,-89.7459
51-084-0100-26-0001,School,Auburn High School,Auburn CUSD 10,Auburn,Sangamon,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,54.0,108.0,317.0,57.1,42.9,90.9,,,5.0,21.5,13.9,100.0,38.5,39.596582,-89.747733
51-084-0100-26-1001,School,Auburn Jr High at Divernon,Auburn CUSD 10,Divernon,Sangamon,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Eligible but Not Served,54.0,108.0,234.0,51.3,48.7,89.3,,,5.1,25.6,18.8,100.0,41.5,39.565109,-89.652492
51-084-0100-26-2004,School,Auburn Middle School,Auburn CUSD 10,Auburn,Sangamon,Unit District,Elementary School,3 - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,54.0,108.0,198.0,58.1,41.9,88.4,,,7.1,23.2,21.2,100.0,46.0,39.5974408,-89.7481438
31-045-1310-22-0000,District,,Aurora East USD 131,Aurora,Kane,Unit District,,,,,,,,12043.0,50.8,,2.3,7.6,87.4,1.3,16.3,14.0,26.7,64.1,41.804056285462,-88.274637130892
31-045-1310-22-2017,School,Benavides Steam Academy,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 2,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,327.0,49.8,50.2,4.0,6.4,86.2,,11.9,10.7,33.9,59.0,41.7827136,-88.3086068
31-045-1310-22-1002,School,C F Simmons Middle School,Aurora East USD 131,Aurora,Kane,Unit District,Middle/Junior High School,6 - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,25.0,50.0,770.0,51.6,48.4,1.4,5.8,91.0,,14.9,13.4,19.7,64.4,41.7783203,-88.2874755
31-045-1310-22-2011,School,C I Johnson Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,3 - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,262.0,54.2,45.8,6.9,4.2,85.9,,8.0,6.1,34.7,58.4,41.76531,-88.26868
31-045-1310-22-2005,School,C M Bardwell Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,629.0,45.9,54.1,1.9,3.2,92.7,,10.2,9.1,22.1,66.6,41.7453249,-88.3196163
31-045-1310-22-3001,School,Early Childhood Dev Cntr,Aurora East USD 131,Aurora,Kane,Unit District,Special School,PK,,,Title 1 Schoolwide,25.0,50.0,220.0,49.5,50.5,,5.9,86.8,,23.6,23.6,,56.4,41.7372701,-87.5779822
31-045-1310-22-0001,School,East High School,Aurora East USD 131,Aurora,Kane,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,3942.0,51.1,,1.8,6.8,89.3,1.1,15.7,12.2,24.0,63.4,41.74503,-88.29674
31-045-1310-22-2015,School,Edna Rollins Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,476.0,49.6,50.4,,9.2,86.6,,8.8,7.8,25.4,70.6,41.7571,-88.292
31-045-1310-22-2016,School,Fred Rodgers Magnet Acad,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,6 - 8,Exemplary,All Students,Title 1 Schoolwide,25.0,50.0,284.0,,50.4,7.0,4.6,84.9,,7.7,,31.7,54.6,41.7579039,-88.3041063
31-045-1310-22-2008,School,G N Dieterich Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,42.0,83.0,438.0,51.1,48.9,3.2,3.2,91.3,,21.0,18.3,23.7,63.0,41.7335187,-88.3113642
31-045-1310-22-1004,School,Henry W Cowherd Middle School,Aurora East USD 131,Aurora,Kane,Unit District,Middle/Junior High School,6 - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,25.0,50.0,824.0,51.9,48.1,1.9,12.7,83.3,1.5,18.1,15.9,27.4,66.5,41.76336,-88.2809
31-045-1310-22-2009,School,John Gates Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,25.0,50.0,403.0,55.6,44.4,,4.0,94.0,,23.8,22.6,23.8,65.8,41.74197,-88.30007
31-045-1310-22-1003,School,K D Waldo Middle School,Aurora East USD 131,Aurora,Kane,Unit District,Middle/Junior High School,6 - 8,Targeted,"Children with Disabilities, English Learner",Title 1 Schoolwide,25.0,50.0,711.0,48.0,52.0,2.5,6.8,89.3,,18.3,14.5,20.0,70.6,41.752034,-88.306768
31-045-1310-22-2007,School,L D Brady Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,251.0,51.8,48.2,,,93.6,,23.1,22.3,,69.3,41.76003,-88.3009
31-045-1310-22-2014,School,Mabel O Donnell Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,PK - 5,Targeted,"Children with Disabilities, English Learner",Title 1 Schoolwide,25.0,50.0,353.0,49.9,50.1,4.2,15.3,74.5,,13.6,12.5,41.1,66.3,41.78584,-88.274711
31-045-1310-22-2010,School,Nicholas A Hermes Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,512.0,52.3,47.7,,7.8,88.5,,15.0,12.7,24.0,62.1,41.77753,-88.29452
31-045-1310-22-2013,School,Oak Park Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,478.0,50.2,49.8,,2.7,95.2,,17.4,15.9,26.4,64.2,41.7645759,-88.285191
31-045-1310-22-2004,School,Olney C Allen Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,42.0,84.0,577.0,51.1,48.9,5.0,22.0,64.1,4.2,13.9,12.7,44.7,61.2,41.7417,-88.28007
31-045-1310-22-2012,School,Rose E Krug Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,42.0,83.0,234.0,52.1,47.9,,12.4,81.6,,21.4,18.8,,67.1,41.733229,-88.324184
31-045-1310-22-2006,School,W S Beaupre Elem School,Aurora East USD 131,Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,246.0,49.2,50.8,,7.7,90.7,,28.5,28.5,18.3,65.9,41.7511783,-88.2916804
31-045-1290-22-0000,District,,Aurora West USD 129,Aurora,Kane,Unit District,,,,,,,,10982.0,51.5,48.5,19.1,9.5,64.8,3.3,19.3,15.9,49.9,50.9,41.804056285462,-88.274637130892
31-045-1290-22-2017,School,Fearn Elementary School,Aurora West USD 129,North Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,42.0,83.0,480.0,49.8,50.2,46.7,11.5,33.5,5.2,18.5,16.5,81.0,32.1,41.81299,-88.36346
31-045-1290-22-2005,School,Freeman Elem School,Aurora West USD 129,Aurora,Kane,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,42.0,83.0,552.0,55.6,44.4,34.4,10.5,50.5,,15.4,13.2,71.7,16.1,41.7584838,-88.3502807
31-045-1290-22-2006,School,Goodwin Elem School,Aurora West USD 129,North Aurora,Kane,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,312.0,55.1,44.9,36.2,10.6,42.3,,26.6,22.1,76.3,34.0,41.805136,-88.342217
31-045-1290-22-2007,School,Greenman Elem School,Aurora West USD 129,Aurora,Kane,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,549.0,48.6,51.4,10.4,5.6,77.4,,18.9,14.9,40.3,59.9,41.761658,-88.33356
31-045-1290-22-2008,School,Hall Elem School,Aurora West USD 129,Aurora,Kane,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,42.0,83.0,503.0,48.5,51.5,11.1,12.1,67.0,,16.3,14.1,48.5,53.3,41.7741088,-88.362915
31-045-1290-22-1006,School,Herget Middle School,Aurora West USD 129,Aurora,Kane,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,42.0,83.0,587.0,50.3,49.7,28.4,8.3,56.2,3.6,18.4,14.0,57.8,50.3,41.7881328,-88.3843304
31-045-1290-22-2009,School,Hill Elem School,Aurora West USD 129,Aurora,Kane,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,549.0,48.5,51.5,4.7,7.7,82.9,2.7,17.1,16.4,35.0,66.3,41.771261,-88.322608
31-045-1290-22-1003,School,Jefferson Middle School,Aurora West USD 129,Aurora,Kane,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,563.0,51.9,48.1,9.8,9.8,73.0,2.0,14.2,9.8,33.2,62.9,41.7674876,-88.3444404
31-045-1290-22-1005,School,Jewel Middle School,Aurora West USD 129,North Aurora,Kane,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,42.0,83.0,481.0,54.7,45.3,28.1,10.8,54.5,2.7,18.5,15.2,54.9,51.4,41.810605,-88.361126
31-045-1290-22-2011,School,McCleery Elem School,Aurora West USD 129,Aurora,Kane,Unit District,Elementary School,PK - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,25.0,50.0,551.0,51.7,48.3,6.7,9.8,73.0,,12.5,12.0,35.6,53.9,41.769709,-88.341822
31-045-1290-22-2012,School,Nicholson Elem School,Aurora West USD 129,Montgomery,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,42.0,83.0,332.0,52.1,47.9,12.0,9.3,74.7,,13.0,11.1,47.3,58.4,41.733313,-88.339227
31-045-1290-22-2014,School,Schneider Elem School,Aurora West USD 129,North Aurora,Kane,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,358.0,55.6,44.4,20.4,5.6,66.2,6.1,25.1,21.2,46.1,51.1,41.814493,-88.3132049
31-045-1290-22-2015,School,Smith Elem School,Aurora West USD 129,Aurora,Kane,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,420.0,54.0,46.0,8.1,10.0,75.7,,20.5,20.2,36.9,60.7,41.78552,-88.333824
31-045-1290-22-1004,School,Washington Middle School,Aurora West USD 129,Aurora,Kane,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,42.0,83.0,676.0,50.4,49.6,20.0,7.5,67.9,2.2,18.0,13.6,47.0,58.4,41.7598876,-88.368103
31-045-1290-22-0001,School,West Aurora High School,Aurora West USD 129,Aurora,Kane,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,25.0,50.0,3561.0,50.1,49.9,19.3,10.4,64.6,2.9,17.6,12.6,51.5,49.8,41.7639236,-88.3436553
31-045-1290-22-3020,School,West Aurora Learning Center/Early Learning Academy,Aurora West USD 129,Aurora,Kane,Unit District,Special School,PK,,,Title 1 Schoolwide,42.0,83.0,333.0,58.6,41.4,15.3,5.7,69.1,3.6,31.2,30.9,35.4,47.4,41.763498,-88.361881
13-014-0210-02-0000,District,,Aviston SD 21,Aviston,Clinton,Elementary District,,,,,,,,460.0,54.8,45.2,,,,,16.7,14.3,100.0,5.9,38.610424,-89.607993
13-014-0210-02-2001,School,Aviston Elem School,Aviston SD 21,Aviston,Clinton,Elementary District,Elementary School,PK - 8,Commendable,All Students,Not a Participant in Title One Program,55.0,109.0,460.0,54.8,45.2,,,,,16.7,14.3,100.0,5.9,38.60699,-89.60759
05-016-0370-02-0000,District,,Avoca SD 37,Wilmette,Cook,Elementary District,,,,,,,,560.0,50.7,49.3,50.4,,13.0,10.0,18.0,12.1,71.8,10.9,42.075367,-87.708033
05-016-0370-02-2003,School,Avoca West Elem School,Avoca SD 37,Glenview,Cook,Elementary District,Elementary School,K - 5,Exemplary,All Students,Title 1 Targeted,9.0,17.0,309.0,51.5,48.5,54.4,,12.3,,15.2,11.0,69.9,11.7,42.076582,-87.765684
05-016-0370-02-1001,School,Marie Murphy School,Avoca SD 37,Wilmette,Cook,Elementary District,Middle/Junior High School,PK - 8,Exemplary,All Students,Title 1 Targeted,9.0,18.0,251.0,49.8,50.2,45.4,,13.9,9.6,21.5,13.5,74.1,10.0,42.084186,-87.748094
51-084-0050-26-0000,District,,Ball Chatham CUSD 5,Chatham,Sangamon,Unit District,,,,,,,,4462.0,50.3,49.7,75.6,5.8,5.0,8.1,20.4,12.3,92.8,22.3,39.676319,-89.704527
51-084-0050-26-2003,School,Ball Elementary School,Ball Chatham CUSD 5,Chatham,Sangamon,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,54.0,108.0,549.0,51.5,48.5,79.6,6.0,6.0,6.6,24.4,19.7,94.0,23.0,39.6716,-89.629
51-084-0050-26-2004,School,Chatham Elem School,Ball Chatham CUSD 5,Chatham,Sangamon,Unit District,Elementary School,K - 4,Exemplary,All Students,Title 1 Schoolwide,48.0,95.0,497.0,49.9,50.1,76.9,5.4,5.2,7.2,18.3,14.1,92.6,31.4,39.6698,-89.70898
51-084-0050-26-2006,School,Glenwood Elementary School,Ball Chatham CUSD 5,Chatham,Sangamon,Unit District,Elementary School,K - 4,Exemplary,All Students,Title 1 Schoolwide,48.0,95.0,573.0,49.2,50.8,68.9,9.9,,7.0,19.7,14.3,87.3,23.2,39.69,-89.693
51-084-0050-26-0001,School,Glenwood High School,Ball Chatham CUSD 5,Chatham,Sangamon,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Ineligible Due to Ranking,48.0,95.0,1446.0,50.6,49.4,75.8,5.3,,8.2,18.8,9.1,94.8,18.5,39.67422,-89.6601
51-084-0050-26-2005,School,Glenwood Intermediate Sch,Ball Chatham CUSD 5,Chatham,Sangamon,Unit District,Elementary School,5 - 6,Commendable,All Students,Title 1 Ineligible Due to Ranking,54.0,108.0,670.0,49.0,51.0,78.4,4.2,,7.9,20.1,11.0,92.1,22.4,39.6748,-89.6556
51-084-0050-26-1002,School,Glenwood Middle School,Ball Chatham CUSD 5,Chatham,Sangamon,Unit District,Middle/Junior High School,7 - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,54.0,108.0,727.0,51.3,48.7,73.9,5.0,4.3,10.7,22.8,11.6,93.3,22.3,39.67422,-89.66017
34-049-1060-02-0000,District,,Bannockburn SD 106,Bannockburn,Lake,Elementary District,,,,,,,,164.0,50.0,50.0,63.4,,,7.3,11.6,11.6,78.0,16.5,42.193498,-87.866598
34-049-1060-02-2001,School,Bannockburn School,Bannockburn SD 106,Bannockburn,Lake,Elementary District,Elementary School,K - 8,Commendable,All Students,Title 1 Targeted,29.0,58.0,164.0,50.0,50.0,63.4,,,7.3,11.6,11.6,78.0,16.5,42.1919302,-87.8642186
34-049-2200-26-0000,District,,Barrington CUSD 220,Barrington,Lake,Unit District,,,,,,,,7881.0,50.7,49.3,58.3,1.5,18.3,5.1,26.5,18.7,78.7,20.2,42.15017,-88.126327
34-049-2200-26-2007,School,Arnett C Lines Elem School,Barrington CUSD 220,Barrington,Lake,Unit District,Elementary School,K - 5,Exemplary,All Students,Title 1 Ineligible Due to Ranking,26.0,51.0,518.0,49.0,51.0,76.3,,14.1,4.2,24.3,18.9,83.6,15.6,42.1512949,-88.1186004
